Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
Pcorr727_BL_1	Pcorr727_BL_1.fq	Conventional base calls	Sanger / Illumina 1.9	31429392.0	0.0	150.0	39.0	21.66457072706571	150.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	warn	pass
Pcorr727_BL_2	Pcorr727_BL_2.fq	Conventional base calls	Sanger / Illumina 1.9	31429392.0	0.0	150.0	39.0	22.7670020301601	150.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	warn	pass
Pcorr727_ant_1	Pcorr727_ant_1.fq	Conventional base calls	Sanger / Illumina 1.9	32221995.0	0.0	150.0	40.0	26.872765155951665	150.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	warn	pass
Pcorr727_ant_2	Pcorr727_ant_2.fq	Conventional base calls	Sanger / Illumina 1.9	32221995.0	0.0	150.0	40.0	28.207345865771337	150.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	warn	pass
Pcorr732_BL_1	Pcorr732_BL_1.fq	Conventional base calls	Sanger / Illumina 1.9	37596924.0	0.0	150.0	42.0	26.99403796534956	150.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	pass	pass
Pcorr732_BL_2	Pcorr732_BL_2.fq	Conventional base calls	Sanger / Illumina 1.9	37596924.0	0.0	150.0	42.0	28.82776516790428	150.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	pass	pass
Pcorr732_ant_1	Pcorr732_ant_1.fq	Conventional base calls	Sanger / Illumina 1.9	36263980.0	0.0	150.0	41.0	27.822472887446093	150.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	pass	pass
Pcorr732_ant_2	Pcorr732_ant_2.fq	Conventional base calls	Sanger / Illumina 1.9	36263980.0	0.0	150.0	41.0	28.465601496905933	150.0	pass	pass	warn	pass	fail	pass	pass	pass	fail	pass	pass
Pcorr736_BL_1	Pcorr736_BL_1.fq	Conventional base calls	Sanger / Illumina 1.9	32808491.0	0.0	150.0	42.0	10.360092190213374	150.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	warn	pass
Pcorr736_BL_2	Pcorr736_BL_2.fq	Conventional base calls	Sanger / Illumina 1.9	32808491.0	0.0	150.0	42.0	11.260735341831317	150.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	warn	pass
Pcorr736_ant_1	Pcorr736_ant_1.fq	Conventional base calls	Sanger / Illumina 1.9	30887716.0	0.0	150.0	41.0	17.421799117816057	150.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	warn	pass
Pcorr736_ant_2	Pcorr736_ant_2.fq	Conventional base calls	Sanger / Illumina 1.9	30887716.0	0.0	150.0	41.0	18.120487715851468	150.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	pass	pass
Pcorr737_BL_1	Pcorr737_BL_1.fq	Conventional base calls	Sanger / Illumina 1.9	34049510.0	0.0	150.0	41.0	27.81509624614962	150.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	warn	pass
Pcorr737_BL_2	Pcorr737_BL_2.fq	Conventional base calls	Sanger / Illumina 1.9	34049510.0	0.0	150.0	41.0	28.224274710654463	150.0	pass	pass	warn	pass	fail	pass	pass	pass	fail	warn	pass
Pcorr737_ant_1	Pcorr737_ant_1.fq	Conventional base calls	Sanger / Illumina 1.9	31448484.0	0.0	150.0	41.0	15.873967850533575	150.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	warn	pass
Pcorr737_ant_2	Pcorr737_ant_2.fq	Conventional base calls	Sanger / Illumina 1.9	31448484.0	0.0	150.0	41.0	16.976440902694716	150.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	pass	pass
Pcorr739_BL_1	Pcorr739_BL_1.fq	Conventional base calls	Sanger / Illumina 1.9	34088880.0	0.0	150.0	40.0	24.524176831302526	150.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	warn	pass
Pcorr739_BL_2	Pcorr739_BL_2.fq	Conventional base calls	Sanger / Illumina 1.9	34088880.0	0.0	150.0	40.0	25.012042967572945	150.0	pass	pass	warn	pass	fail	warn	pass	pass	fail	warn	pass
Pcorr739_ant_1	Pcorr739_ant_1.fq	Conventional base calls	Sanger / Illumina 1.9	31441222.0	0.0	150.0	41.0	24.265152619227237	150.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	warn	pass
Pcorr739_ant_2	Pcorr739_ant_2.fq	Conventional base calls	Sanger / Illumina 1.9	31441222.0	0.0	150.0	41.0	24.69117269606783	150.0	pass	pass	warn	pass	fail	pass	pass	pass	fail	pass	pass
