Module	Section	Sample Name	Source
FastQC	all_sections	Pcorr299_ant_2	/home/vos001/Fall_2021/L.atra_samples/usftp21.novogene.com/raw_data/Fastqc_results/Pcorr299_ant_2_fastqc.zip
FastQC	all_sections	Pcorr300_BL_1	/home/vos001/Fall_2021/L.atra_samples/usftp21.novogene.com/raw_data/Fastqc_results/Pcorr300_BL_1_fastqc.zip
FastQC	all_sections	Pcorr300_BL_2	/home/vos001/Fall_2021/L.atra_samples/usftp21.novogene.com/raw_data/Fastqc_results/Pcorr300_BL_2_fastqc.zip
FastQC	all_sections	Pcorr300_ant_1	/home/vos001/Fall_2021/L.atra_samples/usftp21.novogene.com/raw_data/Fastqc_results/Pcorr300_ant_1_fastqc.zip
FastQC	all_sections	Pcorr300_ant_2	/home/vos001/Fall_2021/L.atra_samples/usftp21.novogene.com/raw_data/Fastqc_results/Pcorr300_ant_2_fastqc.zip
FastQC	all_sections	Pcorr304_BL_1	/home/vos001/Fall_2021/L.atra_samples/usftp21.novogene.com/raw_data/Fastqc_results/Pcorr304_BL_1_fastqc.zip
FastQC	all_sections	Pcorr304_BL_2	/home/vos001/Fall_2021/L.atra_samples/usftp21.novogene.com/raw_data/Fastqc_results/Pcorr304_BL_2_fastqc.zip
FastQC	all_sections	Pcorr304_ant_1	/home/vos001/Fall_2021/L.atra_samples/usftp21.novogene.com/raw_data/Fastqc_results/Pcorr304_ant_1_fastqc.zip
FastQC	all_sections	Pcorr304_ant_2	/home/vos001/Fall_2021/L.atra_samples/usftp21.novogene.com/raw_data/Fastqc_results/Pcorr304_ant_2_fastqc.zip
FastQC	all_sections	Pcorr305_BL_1	/home/vos001/Fall_2021/L.atra_samples/usftp21.novogene.com/raw_data/Fastqc_results/Pcorr305_BL_1_fastqc.zip
FastQC	all_sections	Pcorr305_BL_2	/home/vos001/Fall_2021/L.atra_samples/usftp21.novogene.com/raw_data/Fastqc_results/Pcorr305_BL_2_fastqc.zip
FastQC	all_sections	Pcorr305_ant_1	/home/vos001/Fall_2021/L.atra_samples/usftp21.novogene.com/raw_data/Fastqc_results/Pcorr305_ant_1_fastqc.zip
FastQC	all_sections	Pcorr305_ant_2	/home/vos001/Fall_2021/L.atra_samples/usftp21.novogene.com/raw_data/Fastqc_results/Pcorr305_ant_2_fastqc.zip
FastQC	all_sections	Pcorr585_BL_1	/home/vos001/Fall_2021/L.atra_samples/usftp21.novogene.com/raw_data/Fastqc_results/Pcorr585_BL_1_fastqc.zip
FastQC	all_sections	Pcorr585_BL_2	/home/vos001/Fall_2021/L.atra_samples/usftp21.novogene.com/raw_data/Fastqc_results/Pcorr585_BL_2_fastqc.zip
FastQC	all_sections	Pcorr585_ant_1	/home/vos001/Fall_2021/L.atra_samples/usftp21.novogene.com/raw_data/Fastqc_results/Pcorr585_ant_1_fastqc.zip
FastQC	all_sections	Pcorr585_ant_2	/home/vos001/Fall_2021/L.atra_samples/usftp21.novogene.com/raw_data/Fastqc_results/Pcorr585_ant_2_fastqc.zip
FastQC	all_sections	Pcorr628_BL_1	/home/vos001/Fall_2021/L.atra_samples/usftp21.novogene.com/raw_data/Fastqc_results/Pcorr628_BL_1_fastqc.zip
FastQC	all_sections	Pcorr628_BL_2	/home/vos001/Fall_2021/L.atra_samples/usftp21.novogene.com/raw_data/Fastqc_results/Pcorr628_BL_2_fastqc.zip
FastQC	all_sections	Pcorr628_ant_1	/home/vos001/Fall_2021/L.atra_samples/usftp21.novogene.com/raw_data/Fastqc_results/Pcorr628_ant_1_fastqc.zip
FastQC	all_sections	Pcorr628_ant_2	/home/vos001/Fall_2021/L.atra_samples/usftp21.novogene.com/raw_data/Fastqc_results/Pcorr628_ant_2_fastqc.zip
FastQC	all_sections	Pcorr726_BL_1	/home/vos001/Fall_2021/L.atra_samples/usftp21.novogene.com/raw_data/Fastqc_results/Pcorr726_BL_1_fastqc.zip
FastQC	all_sections	Pcorr726_BL_2	/home/vos001/Fall_2021/L.atra_samples/usftp21.novogene.com/raw_data/Fastqc_results/Pcorr726_BL_2_fastqc.zip
FastQC	all_sections	Pcorr726_ant_1	/home/vos001/Fall_2021/L.atra_samples/usftp21.novogene.com/raw_data/Fastqc_results/Pcorr726_ant_1_fastqc.zip
FastQC	all_sections	Pcorr726_ant_2	/home/vos001/Fall_2021/L.atra_samples/usftp21.novogene.com/raw_data/Fastqc_results/Pcorr726_ant_2_fastqc.zip
FastQC	all_sections	Pcorr727_BL_1	/home/vos001/Fall_2021/L.atra_samples/usftp21.novogene.com/raw_data/Fastqc_results/Pcorr727_BL_1_fastqc.zip
FastQC	all_sections	Pcorr727_BL_2	/home/vos001/Fall_2021/L.atra_samples/usftp21.novogene.com/raw_data/Fastqc_results/Pcorr727_BL_2_fastqc.zip
FastQC	all_sections	Pcorr727_ant_1	/home/vos001/Fall_2021/L.atra_samples/usftp21.novogene.com/raw_data/Fastqc_results/Pcorr727_ant_1_fastqc.zip
FastQC	all_sections	Pcorr727_ant_2	/home/vos001/Fall_2021/L.atra_samples/usftp21.novogene.com/raw_data/Fastqc_results/Pcorr727_ant_2_fastqc.zip
FastQC	all_sections	Pcorr732_BL_1	/home/vos001/Fall_2021/L.atra_samples/usftp21.novogene.com/raw_data/Fastqc_results/Pcorr732_BL_1_fastqc.zip
FastQC	all_sections	Pcorr732_BL_2	/home/vos001/Fall_2021/L.atra_samples/usftp21.novogene.com/raw_data/Fastqc_results/Pcorr732_BL_2_fastqc.zip
FastQC	all_sections	Pcorr732_ant_1	/home/vos001/Fall_2021/L.atra_samples/usftp21.novogene.com/raw_data/Fastqc_results/Pcorr732_ant_1_fastqc.zip
FastQC	all_sections	Pcorr732_ant_2	/home/vos001/Fall_2021/L.atra_samples/usftp21.novogene.com/raw_data/Fastqc_results/Pcorr732_ant_2_fastqc.zip
FastQC	all_sections	Pcorr736_BL_1	/home/vos001/Fall_2021/L.atra_samples/usftp21.novogene.com/raw_data/Fastqc_results/Pcorr736_BL_1_fastqc.zip
FastQC	all_sections	Pcorr736_BL_2	/home/vos001/Fall_2021/L.atra_samples/usftp21.novogene.com/raw_data/Fastqc_results/Pcorr736_BL_2_fastqc.zip
FastQC	all_sections	Pcorr736_ant_1	/home/vos001/Fall_2021/L.atra_samples/usftp21.novogene.com/raw_data/Fastqc_results/Pcorr736_ant_1_fastqc.zip
FastQC	all_sections	Pcorr736_ant_2	/home/vos001/Fall_2021/L.atra_samples/usftp21.novogene.com/raw_data/Fastqc_results/Pcorr736_ant_2_fastqc.zip
FastQC	all_sections	Pcorr737_BL_1	/home/vos001/Fall_2021/L.atra_samples/usftp21.novogene.com/raw_data/Fastqc_results/Pcorr737_BL_1_fastqc.zip
FastQC	all_sections	Pcorr737_BL_2	/home/vos001/Fall_2021/L.atra_samples/usftp21.novogene.com/raw_data/Fastqc_results/Pcorr737_BL_2_fastqc.zip
FastQC	all_sections	Pcorr737_ant_1	/home/vos001/Fall_2021/L.atra_samples/usftp21.novogene.com/raw_data/Fastqc_results/Pcorr737_ant_1_fastqc.zip
FastQC	all_sections	Pcorr737_ant_2	/home/vos001/Fall_2021/L.atra_samples/usftp21.novogene.com/raw_data/Fastqc_results/Pcorr737_ant_2_fastqc.zip
FastQC	all_sections	Pcorr739_BL_1	/home/vos001/Fall_2021/L.atra_samples/usftp21.novogene.com/raw_data/Fastqc_results/Pcorr739_BL_1_fastqc.zip
FastQC	all_sections	Pcorr739_BL_2	/home/vos001/Fall_2021/L.atra_samples/usftp21.novogene.com/raw_data/Fastqc_results/Pcorr739_BL_2_fastqc.zip
FastQC	all_sections	Pcorr739_ant_1	/home/vos001/Fall_2021/L.atra_samples/usftp21.novogene.com/raw_data/Fastqc_results/Pcorr739_ant_1_fastqc.zip
FastQC	all_sections	Pcorr739_ant_2	/home/vos001/Fall_2021/L.atra_samples/usftp21.novogene.com/raw_data/Fastqc_results/Pcorr739_ant_2_fastqc.zip
